Date,The audio made me feel like I was physically present in the game world. ,  I was so focused on the game that I lost track of my surroundings  ,  The overall soundscape of the scene was believable.  ,  The audio design was consistent and helped create a cohesive world.  ,"  The audio effectively created a specific mood or atmosphere (e.g., calm, tense, mysterious).   ","  The sound effects made my actions (e.g., jumping, collecting items) feel more satisfying.   ",  The soundscape was emotionally engaging.   ,  The audio enhanced the narrative or the events happening on screen.   ,  The sounds I heard were a good match for the objects and environment I was seeing.   ,  The timing of the sound effects felt perfectly synchronized with the character's actions.   ,  The ambient (background) sounds were appropriate for the game's setting.   ,"  Overall, the quality of the sound design was high.   ",  The soundscape was interesting and did not feel repetitive.   ,  I would enjoy playing a full game with this style of audio.   ,What did you like most about the sound design in the scene you just played?,What did you like least about the sound design in the scene you just played?,Please use three words to describe the atmosphere created by the audio.,Do you have any other comments about your audio experience in this scene?
8/16/2025,5,3,4,5,4,4,2,5,4,5,5,3,4,4,It was immersive,Gun sounds very weird,"Immersive, Helpful, Engaging",No
8/16/2025,5,4,4,5,4,3,3,5,5,5,5,5,4,4,I liked the sound of the overheating of the blaster and the ambient noise.,"There was no jetpack sound. When you die and play again, the buzzer doesn't stop buzzing.",I like it,Sound is a bit loud when you start. 
8/16/2025,4,4,4,5,4,4,4,4,5,5,5,4,4,4,"I liked the surrounding sound, it was calming ",the enemies shooting sound was repetitive in my opinion and when i died the buzzing sound was continuous ,"annoying (with buzzing audio), peaceful and relaxing (before the buzzing sound) and ",the buzzing audio is a bit annoying 
8/16/2025,5,5,5,5,5,5,5,5,4,5,5,4,5,5,The background humming. It puts you in a different world whilst also giving a sense or urgency.,The enemy beeping. It felt unpolished,"Immersive, Engaging, Satisfying",No
8/17/2025,4,4,3,4,5,4,3,5,4,5,4,4,4,3,The reactivity of the sound,the volume of the sound,"Futuristic, intense, immersive",Great Design overall
8/17/2025,3,5,5,4,5,5,3,4,4,3,5,2,3,2,The ambient noise made it feel realistic ,The audio quality was poor and it sounded like you were underwater,"tense, engaging, low quality",no
9/17/2025,4,4,4,4,5,4,4,4,1,3,3,4,4,2,Some sounds were satisfying ,when the sound echoed ,Game very loud,Never use that style of audio again 
9/17/2025,3,1,4,3,3,4,3,4,4,4,4,3,4,2,The laser gun ,Health pickup,Space interesting real,No
8/18/2025,4,1,3,2,2,1,1,1,3,2,1,2,2,1,I liked the Gun Shot Sound Effects,I did not like the ambient noise as it was distorted and irritating,"Chaotic, Suffocating, Painful",Default audio levels were way too high
8/19/2025,1,1,1,1,1,1,1,1,3,5,2,3,5,1,The gun sounds effects,It was way too loud,Really loud buzzing,No
8/19/2025,3,1,1,1,2,2,1,1,1,3,3,2,1,1,The reload sound,The background noise,sci-fi,Some of the sounds can be too harsh sounding 
